category,is_page_list,url
projecteur_exterieur,False,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/projecteur-exterieur-et-detecteur-de-mouvement/cat_id_444.cat
detecteur_de_mouvement,False,https://www.castorama.fr/detecteur-de-mouvement/cat_id_0003833.cat
borne_exterieure_et_potelet,False,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/borne-exterieure-et-potelet/cat_id_1116.cat
spot_exterieur,False,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/spot-exterieur/cat_id_3986.cat
lampadaire_exterieur,False,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/lampadaire-exterieur/cat_id_1119.cat
suspension_exterieure,False,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/suspension-exterieure/cat_id_1124.cat
plafonnier_exterieur,False,https://www.castorama.fr/plafonnier-exterieur/cat_id_0002706.cat
eclairage_solaire,False,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/luminaire-solaire/cat_id_1121.cat
balise_exterieure,False,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/balise-exterieure/cat_id_2720.cat
ruban_led_exterieur,False,https://www.castorama.fr/ruban-led-exterieur/cat_id_0002708.cat
lampe_exterieure,False,https://www.castorama.fr/lampe-exterieure/cat_id_0002707.cat
boule_lumineuse,False,https://www.castorama.fr/boule-lumineuse/cat_id_0002709.cat
guirlande_lumineuse_exterieure,False,https://www.castorama.fr/guirlande-lumineuse-exterieure/cat_id_0002071.cat
rideau_lumineux,False,https://www.castorama.fr/rideau-lumineux/cat_id_0002074.cat
nos_collections_luminaires_exterieurs,False,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/nos-collections-luminaires-exterieurs/cat_id_5998.cat
accessoire_luminaire_exterieur,False,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/accessoire-luminaire-exterieur/cat_id_0001653.cat
decoration_sapin_de_noel,False,https://www.castorama.fr/decoration-sapin-de-noel/cat_id_0004874.cat
sapin_de_noel,False,https://www.castorama.fr/jardin-et-terrasse/sapin-de-noel/cat_id_5081.cat
decoration_lumineuse_de_noel,False,https://www.castorama.fr/decoration-lumineuse-de-noel/cat_id_0002078.cat
